timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1588494163893,71914,HTTP Request,200,OK,sseDestroy 1-923,text,true,,4005,159,57,57,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,71914,0,69742
1588494163893,71918,HTTP Request,200,OK,sseDestroy 1-924,text,true,,4005,159,56,56,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,71916,0,69742
1588494163893,71921,HTTP Request,200,OK,sseDestroy 1-926,text,true,,4005,159,55,55,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,71918,0,69740
1588494163893,71948,HTTP Request,200,OK,sseDestroy 1-927,text,true,,4005,159,54,54,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,71947,0,69743
1588494163893,71951,HTTP Request,200,OK,sseDestroy 1-928,text,true,,4005,159,53,53,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,71951,0,69743
1588494163893,71956,HTTP Request,200,OK,sseDestroy 1-925,text,true,,4005,159,52,52,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,71953,0,69744
1588494163915,71984,HTTP Request,200,OK,sseDestroy 1-949,text,true,,4005,159,51,51,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,70700,0,69810
1588494163916,72194,HTTP Request,200,OK,sseDestroy 1-950,text,true,,4005,159,50,50,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72194,0,69812
1588494163922,72190,HTTP Request,200,OK,sseDestroy 1-952,text,true,,4005,159,49,49,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72189,0,69807
1588494163914,72200,HTTP Request,200,OK,sseDestroy 1-948,text,true,,4005,159,48,48,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72199,0,69812
1588494163922,72193,HTTP Request,200,OK,sseDestroy 1-954,text,true,,4005,159,47,47,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72193,0,69807
1588494163916,72211,HTTP Request,200,OK,sseDestroy 1-951,text,true,,4005,159,46,46,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72210,0,69812
1588494163923,72205,HTTP Request,200,OK,sseDestroy 1-958,text,true,,4005,159,45,45,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72204,0,69806
1588494163947,72186,HTTP Request,200,OK,sseDestroy 1-981,text,true,,4005,159,44,44,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72184,0,70080
1588494163909,72224,HTTP Request,200,OK,sseDestroy 1-943,text,true,,4005,159,44,44,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72221,0,69816
1588494163922,72234,HTTP Request,200,OK,sseDestroy 1-955,text,true,,4005,159,42,42,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72234,0,69810
1588494163922,72235,HTTP Request,200,OK,sseDestroy 1-953,text,true,,4005,159,41,41,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72235,0,69810
1588494163923,72237,HTTP Request,200,OK,sseDestroy 1-957,text,true,,4005,159,40,40,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72237,0,69807
1588494163934,72310,HTTP Request,200,OK,sseDestroy 1-967,text,true,,4005,159,39,39,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72310,0,70092
1588494163938,72310,HTTP Request,200,OK,sseDestroy 1-973,text,true,,4005,159,38,38,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72309,0,70088
1588494163934,72331,HTTP Request,200,OK,sseDestroy 1-964,text,true,,4005,159,37,37,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,70705,0,70092
1588494163944,72372,HTTP Request,200,OK,sseDestroy 1-977,text,true,,4005,159,36,36,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72372,0,70082
1588494163934,72383,HTTP Request,200,OK,sseDestroy 1-966,text,true,,4005,159,35,35,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72383,0,70092
1588494163931,72388,HTTP Request,200,OK,sseDestroy 1-959,text,true,,4005,159,34,34,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72388,0,70095
1588494163934,72386,HTTP Request,200,OK,sseDestroy 1-965,text,true,,4005,159,33,33,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72386,0,70092
1588494163930,72423,HTTP Request,200,OK,sseDestroy 1-960,text,true,,4005,159,32,32,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72423,0,70096
1588494163943,72412,HTTP Request,200,OK,sseDestroy 1-975,text,true,,4005,159,31,31,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72411,0,70083
1588494163944,72411,HTTP Request,200,OK,sseDestroy 1-979,text,true,,4005,159,30,30,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72411,0,70082
1588494163931,72428,HTTP Request,200,OK,sseDestroy 1-963,text,true,,4005,159,29,29,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72428,0,70095
1588494163943,72416,HTTP Request,200,OK,sseDestroy 1-974,text,true,,4005,159,29,29,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72416,0,70083
1588494163943,72416,HTTP Request,200,OK,sseDestroy 1-978,text,true,,4005,159,29,29,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72416,0,70083
1588494163859,72649,HTTP Request,200,OK,sseDestroy 1-894,text,true,,4005,159,26,26,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72515,0,69511
1588494163862,72801,HTTP Request,200,OK,sseDestroy 1-896,text,true,,4005,159,25,25,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72801,0,69511
1588494163860,72805,HTTP Request,200,OK,sseDestroy 1-895,text,true,,4005,159,24,24,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72805,0,69512
1588494163864,72835,HTTP Request,200,OK,sseDestroy 1-899,text,true,,4005,159,23,23,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72835,0,69510
1588494163863,72839,HTTP Request,200,OK,sseDestroy 1-898,text,true,,4005,159,22,22,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72839,0,69511
1588494163859,72845,HTTP Request,200,OK,sseDestroy 1-893,text,true,,4005,159,21,21,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72845,0,69514
1588494163871,72855,HTTP Request,200,OK,sseDestroy 1-904,text,true,,4005,159,20,20,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72855,0,69506
1588494163873,72855,HTTP Request,200,OK,sseDestroy 1-908,text,true,,4005,159,19,19,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72855,0,69505
1588494163871,72859,HTTP Request,200,OK,sseDestroy 1-906,text,true,,4005,159,18,18,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72859,0,69508
1588494163865,72866,HTTP Request,200,OK,sseDestroy 1-900,text,true,,4005,159,17,17,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72866,0,69511
1588494163871,72861,HTTP Request,200,OK,sseDestroy 1-905,text,true,,4005,159,16,16,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72861,0,69508
1588494163873,72859,HTTP Request,200,OK,sseDestroy 1-907,text,true,,4005,159,16,16,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72859,0,69503
1588494163874,72859,HTTP Request,200,OK,sseDestroy 1-909,text,true,,4005,159,14,14,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72859,0,69503
1588494163863,72871,HTTP Request,200,OK,sseDestroy 1-897,text,true,,4005,159,13,13,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72871,0,69512
1588494163882,72941,HTTP Request,200,OK,sseDestroy 1-916,text,true,,4005,159,12,12,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72941,0,69506
1588494163949,72918,HTTP Request,200,OK,sseDestroy 1-984,text,true,,4005,159,11,11,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72918,0,70078
1588494163949,72961,HTTP Request,200,OK,sseDestroy 1-982,text,true,,4005,159,10,10,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72961,0,70078
1588494163952,72962,HTTP Request,200,OK,sseDestroy 1-986,text,true,,4005,159,9,9,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72962,0,70075
1588494163952,72963,HTTP Request,200,OK,sseDestroy 1-987,text,true,,4005,159,9,9,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72963,0,70075
1588494163949,72971,HTTP Request,200,OK,sseDestroy 1-983,text,true,,4005,159,7,7,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72971,0,70078
1588494163951,72970,HTTP Request,200,OK,sseDestroy 1-985,text,true,,4005,159,6,6,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72970,0,70076
1588494163956,72966,HTTP Request,200,OK,sseDestroy 1-991,text,true,,4005,159,5,5,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,72966,0,70071
1588494163946,74687,HTTP Request,200,OK,sseDestroy 1-980,text,true,,4005,159,4,4,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,74687,0,70081
1588494163943,75184,HTTP Request,200,OK,sseDestroy 1-976,text,true,,4005,159,3,3,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,75184,0,70083
1588494163931,75197,HTTP Request,200,OK,sseDestroy 1-962,text,true,,4005,159,2,2,http://sse-application-2016566140.us-west-1.elb.amazonaws.com/,75197,0,70095
